Image_ID,Class
frame0.jpg,1
frame1.jpg,1
frame2.jpg,2
frame3.jpg,2
frame4.jpg,1
frame5.jpg,2
frame6.jpg,0
frame7.jpg,2
frame8.jpg,2
frame9.jpg,2
frame10.jpg,2
frame11.jpg,1
frame12.jpg,1
frame13.jpg,1
frame14.jpg,2
frame15.jpg,2
frame16.jpg,2
frame17.jpg,0
frame18.jpg,0
frame19.jpg,0
frame20.jpg,0
frame21.jpg,0
frame22.jpg,2
frame23.jpg,2
frame24.jpg,1
frame25.jpg,1
frame26.jpg,1
frame27.jpg,1
frame28.jpg,1
frame29.jpg,2
frame30.jpg,2
frame31.jpg,2
frame32.jpg,2
frame33.jpg,2
frame34.jpg,1
frame35.jpg,2
frame36.jpg,1
frame37.jpg,2
frame38.jpg,1
frame39.jpg,1
frame40.jpg,1
frame41.jpg,1
frame42.jpg,0
frame43.jpg,0
frame44.jpg,1
frame45.jpg,1
frame46.jpg,1
frame47.jpg,1
frame48.jpg,1
frame49.jpg,0
frame50.jpg,0
frame51.jpg,0
frame52.jpg,0
frame53.jpg,0
frame54.jpg,0
frame55.jpg,0
frame56.jpg,1
frame57.jpg,1
frame58.jpg,1
frame59.jpg,1
frame60.jpg,1
frame61.jpg,1
frame62.jpg,1
frame63.jpg,1
frame64.jpg,1
frame65.jpg,1
frame66.jpg,1
frame67.jpg,0
frame68.jpg,0
frame69.jpg,0
frame70.jpg,0
frame71.jpg,0
frame72.jpg,0
frame73.jpg,0
frame74.jpg,0
frame75.jpg,0
frame76.jpg,0
frame77.jpg,0
frame78.jpg,0
frame79.jpg,1
frame80.jpg,1
frame81.jpg,1
frame82.jpg,1
frame83.jpg,0
frame84.jpg,0
frame85.jpg,0
frame86.jpg,0
frame87.jpg,0
frame88.jpg,2
frame89.jpg,2
frame90.jpg,2
frame91.jpg,2
frame92.jpg,0
frame93.jpg,0
frame94.jpg,1
frame94.jpg,1
frame96.jpg,1
frame97.jpg,1
frame98.jpg,1
frame99.jpg,1
frame100.jpg,1
frame101.jpg,1
frame102.jpg,1
frame103.jpg,0
frame104.jpg,0
frame105.jpg,0
frame106.jpg,1
frame107.jpg,1
frame108.jpg,1
frame109.jpg,2
frame110.jpg,2
frame111.jpg,2
frame112.jpg,2
frame113.jpg,2
frame114.jpg,1
frame115.jpg,1
frame116.jpg,1
frame117.jpg,1
frame118.jpg,1
frame119.jpg,1
frame120.jpg,2
frame121.jpg,2
frame122.jpg,0
frame123.jpg,1
frame124.jpg,0
frame125.jpg,1
frame126.jpg,1
frame127.jpg,1
frame128.jpg,1
frame129.jpg,2
frame130.jpg,2
frame131.jpg,2
frame132.jpg,1
frame133.jpg,1
frame134.jpg,1
frame135.jpg,1
frame136.jpg,1
frame137.jpg,1
frame138.jpg,1
frame139.jpg,1
frame140.jpg,1
frame141.jpg,1
frame142.jpg,1
frame143.jpg,1
frame144.jpg,1
frame145.jpg,1
frame146.jpg,1
frame147.jpg,0
frame148.jpg,0
frame149.jpg,0
frame150.jpg,0
frame151.jpg,0
frame152.jpg,0
frame153.jpg,2
frame154.jpg,2
frame155.jpg,2
frame156.jpg,2
frame157.jpg,0
frame158.jpg,0
frame159.jpg,0
frame160.jpg,1
frame161.jpg,1
frame162.jpg,0
frame163.jpg,0
frame164.jpg,0
frame165.jpg,0
frame166.jpg,1
frame167.jpg,1
frame168.jpg,1
frame169.jpg,0
frame170.jpg,0
frame171.jpg,1
frame172.jpg,1
frame173.jpg,1
frame174.jpg,1
frame175.jpg,1
frame176.jpg,1
frame177.jpg,1
frame178.jpg,0
frame179.jpg,0
frame180.jpg,0
frame181.jpg,1
frame182.jpg,1
frame183.jpg,1
frame184.jpg,1
frame185.jpg,1
frame186.jpg,1
frame187.jpg,0
frame188.jpg,0
frame189.jpg,0
frame190.jpg,0
frame191.jpg,0
frame192.jpg,0
frame193.jpg,0
frame194.jpg,0
frame195.jpg,0
frame196.jpg,0
frame197.jpg,0
frame198.jpg,0
frame199.jpg,0
frame200.jpg,0
frame201.jpg,0
frame202.jpg,1
frame203.jpg,1
frame204.jpg,1
frame205.jpg,1
frame206.jpg,1
frame207.jpg,0
frame208.jpg,1
frame209.jpg,0
frame210.jpg,1
frame211.jpg,1
frame212.jpg,0
frame213.jpg,0
frame214.jpg,0
frame215.jpg,1
frame216.jpg,1
frame217.jpg,1
frame218.jpg,1
frame219.jpg,1
frame220.jpg,0
frame221.jpg,0
frame222.jpg,1
frame223.jpg,1
frame224.jpg,1
frame225.jpg,1
frame226.jpg,1
frame227.jpg,1
frame228.jpg,1
frame229.jpg,1
frame230.jpg,0
frame231.jpg,0
frame232.jpg,0
frame233.jpg,0
frame234.jpg,0
frame235.jpg,1
frame236.jpg,1
frame237.jpg,1
frame238.jpg,1
frame239.jpg,1
frame240.jpg,1
frame241.jpg,1
frame242.jpg,1
frame243.jpg,1
frame244.jpg,0
frame245.jpg,0
frame246.jpg,1
frame247.jpg,1
frame248.jpg,1
frame249.jpg,1
frame250.jpg,1
frame251.jpg,1
frame252.jpg,0
frame253.jpg,0
frame254.jpg,1
frame255.jpg,1
frame256.jpg,0
frame257.jpg,0
frame258.jpg,1
frame259.jpg,1
frame260.jpg,1
frame261.jpg,1
frame262.jpg,1
frame263.jpg,1
frame264.jpg,0
frame265.jpg,0
frame266.jpg,1
frame267.jpg,1
frame268.jpg,0
frame269.jpg,1
frame270.jpg,0
frame271.jpg,0
frame272.jpg,0
frame273.jpg,1
frame274.jpg,1
frame275.jpg,1
frame276.jpg,1
frame277.jpg,0
frame278.jpg,2
frame279.jpg,2
frame280.jpg,2
frame281.jpg,0
frame282.jpg,0
frame283.jpg,0
frame284.jpg,0
frame285.jpg,2
frame286.jpg,2
frame287.jpg,2
frame288.jpg,2
frame289.jpg,2
frame290.jpg,2
frame291.jpg,2
frame292.jpg,0
frame293.jpg,0
frame294.jpg,0
frame295.jpg,0
frame296.jpg,0
frame297.jpg,1
frame298.jpg,1
frame299.jpg,1
frame300.jpg,2
frame301.jpg,2
frame302.jpg,2
frame303.jpg,2
frame304.jpg,0
frame305.jpg,0
frame306.jpg,2
frame307.jpg,2
frame308.jpg,2
frame309.jpg,1
frame310.jpg,1
frame311.jpg,1
frame312.jpg,1
frame313.jpg,1
frame314.jpg,1
frame315.jpg,1
frame316.jpg,2
frame317.jpg,2
frame318.jpg,2
frame319.jpg,2
frame320.jpg,2
frame321.jpg,2
frame322.jpg,2
frame323.jpg,1
frame324.jpg,1
frame325.jpg,1
frame326.jpg,1
frame327.jpg,1
frame328.jpg,1
frame329.jpg,1
frame330.jpg,1
frame331.jpg,1
frame332.jpg,1
frame333.jpg,0
frame334.jpg,0
frame335.jpg,0
frame336.jpg,0
frame337.jpg,2
frame338.jpg,2
frame339.jpg,2
frame340.jpg,2
frame341.jpg,2
frame342.jpg,2
frame343.jpg,1
frame344.jpg,1
frame345.jpg,0
frame346.jpg,0
frame347.jpg,2
frame348.jpg,0
frame349.jpg,2
frame350.jpg,0
frame351.jpg,0
frame352.jpg,0
frame353.jpg,2
frame354.jpg,2
frame355.jpg,0
frame356.jpg,2
frame357.jpg,2
frame358.jpg,2
frame359.jpg,2
frame360.jpg,2
frame361.jpg,2
frame362.jpg,0
frame363.jpg,0
frame364.jpg,0
frame365.jpg,0
frame366.jpg,0
frame367.jpg,0
frame368.jpg,0
frame369.jpg,0
frame370.jpg,2
frame371.jpg,2
frame372.jpg,1
frame373.jpg,1
frame374.jpg,2
frame375.jpg,2
frame376.jpg,2
frame377.jpg,2
frame378.jpg,1
frame379.jpg,1
frame380.jpg,1
frame381.jpg,2
frame382.jpg,2
frame383.jpg,2
frame384.jpg,0
frame385.jpg,0
frame386.jpg,1
frame387.jpg,0
frame388.jpg,0
frame389.jpg,0
frame390.jpg,0
frame391.jpg,2
frame392.jpg,2
frame393.jpg,2
frame394.jpg,1
frame395.jpg,1
frame396.jpg,1
frame397.jpg,1
frame398.jpg,1
frame399.jpg,1
frame400.jpg,1
frame401.jpg,1
frame402.jpg,1
frame403.jpg,2
